pseudo;numero;points licence
XMT Danner;2;10
YART_Evan;6;10
WCR_Stephrug;10;10
HugoUsm ;11;10
XMT Tyzen;15;10
Sati | NRV;17;10
GT10_Saturne;19;10
Createurdu24;24;10
Max__laGUEZ;25;10
SMT--julien62L;26;10
THR_Fisga;27;10
WCR_Blankame;45;10
FcT Hokuto;74;10
WCR_M///Kev62;88;10
GT10_Wundex;93;10
TFSG_Woody94;94;10
FcT Alpha;95;10
F1AF_Tiago;96;10
SkyZ l LanderZ | NRV;98;10
Tazzer;99;10
FcT eiFeL;111;10
PRL | Nerox;120;10
XMT LeVanDeSully;192;10
Geo2frey-11;207;10
--SMT_LeBotaniste213;213;10
XMT Ayzko;272;10
RFF AceVentura;295;10
Coch-_-420;420;10
Anoxxr ;609;10
FcT Moustyk;619;10
Jessgt3r | NRV;737;10
GT10_Charly;747;10
XMT Coyot;888;10
SMT-_-McTeacher96;996;10
